timestamp(s),heart_rate(bpm)
2015-03-22 1:34,95
2015-03-22 1:34,94
2015-03-22 1:34,94
2015-03-22 1:34,94
2015-03-22 1:34,96
2015-03-22 1:34,97
2015-03-22 1:34,98
2015-03-22 1:34,99
2015-03-22 1:34,101
2015-03-22 1:34,104
2015-03-22 1:34,106
2015-03-22 1:35,108
2015-03-22 1:35,110
2015-03-22 1:35,112
2015-03-22 1:35,114
2015-03-22 1:35,114
2015-03-22 1:35,115
2015-03-22 1:35,115
2015-03-22 1:35,116
2015-03-22 1:35,115
2015-03-22 1:35,115
2015-03-22 1:35,115
2015-03-22 1:35,115
2015-03-22 1:35,114
2015-03-22 1:35,113
2015-03-22 1:35,113
2015-03-22 1:35,113
2015-03-22 1:35,112
2015-03-22 1:35,113
2015-03-22 1:35,113
2015-03-22 1:35,114
2015-03-22 1:35,115
2015-03-22 1:35,116
2015-03-22 1:35,116
2015-03-22 1:35,116
2015-03-22 1:35,116
2015-03-22 1:35,117
2015-03-22 1:35,117
2015-03-22 1:35,118
2015-03-22 1:35,118
2015-03-22 1:35,119
2015-03-22 1:35,119
2015-03-22 1:35,120
2015-03-22 1:35,120
2015-03-22 1:35,121
2015-03-22 1:35,121
2015-03-22 1:35,121
2015-03-22 1:35,121
2015-03-22 1:35,120
2015-03-22 1:35,120
2015-03-22 1:35,120
2015-03-22 1:35,120
2015-03-22 1:35,120
2015-03-22 1:35,120
2015-03-22 1:35,121
2015-03-22 1:35,121
2015-03-22 1:35,122
2015-03-22 1:35,123
2015-03-22 1:35,123
2015-03-22 1:35,122
2015-03-22 1:35,123
2015-03-22 1:35,122
2015-03-22 1:35,123
2015-03-22 1:35,122
2015-03-22 1:35,122
2015-03-22 1:35,122
2015-03-22 1:35,121
2015-03-22 1:35,120
2015-03-22 1:35,119
2015-03-22 1:35,118
2015-03-22 1:35,119
2015-03-22 1:36,118
2015-03-22 1:36,117
2015-03-22 1:36,117
2015-03-22 1:36,117
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,118
2015-03-22 1:36,119
2015-03-22 1:36,119
2015-03-22 1:36,119
2015-03-22 1:36,120
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,121
2015-03-22 1:36,120
2015-03-22 1:36,120
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:36,121
2015-03-22 1:37,121
2015-03-22 1:37,121
2015-03-22 1:37,121
2015-03-22 1:37,121
2015-03-22 1:37,119
2015-03-22 1:37,119
2015-03-22 1:37,121
2015-03-22 1:37,122
2015-03-22 1:37,122
2015-03-22 1:37,122
2015-03-22 1:37,123
2015-03-22 1:37,124
2015-03-22 1:37,124
2015-03-22 1:37,124
2015-03-22 1:37,124
2015-03-22 1:37,124
2015-03-22 1:37,124
2015-03-22 1:37,125
2015-03-22 1:37,125
2015-03-22 1:37,125
2015-03-22 1:37,126
2015-03-22 1:37,127
2015-03-22 1:37,128
2015-03-22 1:37,129
2015-03-22 1:37,129
2015-03-22 1:37,130
2015-03-22 1:37,131
2015-03-22 1:37,132
2015-03-22 1:37,132
2015-03-22 1:37,133
2015-03-22 1:37,134
2015-03-22 1:37,135
2015-03-22 1:37,136
2015-03-22 1:37,136
2015-03-22 1:37,135
2015-03-22 1:37,135
2015-03-22 1:37,136
2015-03-22 1:37,136
2015-03-22 1:37,136
2015-03-22 1:37,137
2015-03-22 1:37,137
2015-03-22 1:37,137
2015-03-22 1:37,137
2015-03-22 1:37,136
2015-03-22 1:37,135
2015-03-22 1:37,135
2015-03-22 1:37,135
2015-03-22 1:37,135
2015-03-22 1:37,136
2015-03-22 1:37,137
2015-03-22 1:37,138
2015-03-22 1:37,139
2015-03-22 1:37,140
2015-03-22 1:37,141
2015-03-22 1:37,141
2015-03-22 1:37,142
2015-03-22 1:37,142
2015-03-22 1:37,142
2015-03-22 1:37,142
2015-03-22 1:38,142
2015-03-22 1:38,142
2015-03-22 1:38,141
2015-03-22 1:38,142
2015-03-22 1:38,142
2015-03-22 1:38,142
2015-03-22 1:38,143
2015-03-22 1:38,143
2015-03-22 1:38,144
2015-03-22 1:38,144
2015-03-22 1:38,144
2015-03-22 1:38,144
2015-03-22 1:38,145
2015-03-22 1:38,145
2015-03-22 1:38,145
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,145
2015-03-22 1:38,145
2015-03-22 1:38,145
2015-03-22 1:38,145
2015-03-22 1:38,145
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,146
2015-03-22 1:38,147
2015-03-22 1:38,147
2015-03-22 1:38,147
2015-03-22 1:38,148
2015-03-22 1:38,148
2015-03-22 1:38,148
2015-03-22 1:38,148
2015-03-22 1:38,148
2015-03-22 1:38,149
2015-03-22 1:38,149
2015-03-22 1:38,150
2015-03-22 1:38,150
2015-03-22 1:38,151
2015-03-22 1:38,152
2015-03-22 1:38,153
2015-03-22 1:38,153
2015-03-22 1:38,153
2015-03-22 1:38,155
2015-03-22 1:38,155
2015-03-22 1:38,155
2015-03-22 1:38,156
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:38,157
2015-03-22 1:39,158
2015-03-22 1:39,158
2015-03-22 1:39,157
2015-03-22 1:39,158
2015-03-22 1:39,158
2015-03-22 1:39,158
2015-03-22 1:39,158
2015-03-22 1:39,157
2015-03-22 1:39,157
2015-03-22 1:39,157
2015-03-22 1:39,157
2015-03-22 1:39,156
2015-03-22 1:39,156
2015-03-22 1:39,156
2015-03-22 1:39,156
2015-03-22 1:39,157
2015-03-22 1:39,157
2015-03-22 1:39,156
2015-03-22 1:39,157
2015-03-22 1:39,156
2015-03-22 1:39,156
2015-03-22 1:39,156
2015-03-22 1:39,156
2015-03-22 1:39,155
2015-03-22 1:39,156
2015-03-22 1:39,155
2015-03-22 1:39,155
2015-03-22 1:39,155
2015-03-22 1:39,154
2015-03-22 1:39,154
2015-03-22 1:39,154
2015-03-22 1:39,153
2015-03-22 1:39,153
2015-03-22 1:39,152
2015-03-22 1:39,152
2015-03-22 1:39,152
2015-03-22 1:39,151
2015-03-22 1:39,152
2015-03-22 1:39,151
2015-03-22 1:39,150
2015-03-22 1:39,150
2015-03-22 1:39,149
2015-03-22 1:39,148
2015-03-22 1:39,147
2015-03-22 1:39,146
2015-03-22 1:39,146
2015-03-22 1:39,146
2015-03-22 1:39,146
2015-03-22 1:39,146
2015-03-22 1:39,145
2015-03-22 1:39,145
2015-03-22 1:39,145
2015-03-22 1:39,144
2015-03-22 1:39,145
2015-03-22 1:39,144
2015-03-22 1:39,144
2015-03-22 1:39,144
2015-03-22 1:39,144
2015-03-22 1:39,144
2015-03-22 1:39,143
2015-03-22 1:40,143
2015-03-22 1:40,143
2015-03-22 1:40,143
2015-03-22 1:40,143
2015-03-22 1:40,142
2015-03-22 1:40,142
2015-03-22 1:40,142
2015-03-22 1:40,142
2015-03-22 1:40,141
2015-03-22 1:40,141
2015-03-22 1:40,141
2015-03-22 1:40,141
2015-03-22 1:40,141
2015-03-22 1:40,141
2015-03-22 1:40,141
2015-03-22 1:40,142
2015-03-22 1:40,142
2015-03-22 1:40,143
2015-03-22 1:40,143
2015-03-22 1:40,143
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,145
2015-03-22 1:40,144
2015-03-22 1:40,145
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,144
2015-03-22 1:40,143
2015-03-22 1:40,142
2015-03-22 1:40,142
2015-03-22 1:40,141
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,141
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,140
2015-03-22 1:40,141
2015-03-22 1:40,141
2015-03-22 1:40,142
2015-03-22 1:40,143
2015-03-22 1:41,143
2015-03-22 1:41,145
2015-03-22 1:41,145
2015-03-22 1:41,146
2015-03-22 1:41,147
2015-03-22 1:41,148
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,149
2015-03-22 1:41,148
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,150
2015-03-22 1:41,150
2015-03-22 1:41,150
2015-03-22 1:41,150
2015-03-22 1:41,150
2015-03-22 1:41,150
2015-03-22 1:41,150
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,149
2015-03-22 1:41,148
2015-03-22 1:41,149
2015-03-22 1:41,148
2015-03-22 1:41,148
2015-03-22 1:41,147
2015-03-22 1:41,145
2015-03-22 1:41,144
2015-03-22 1:41,143
2015-03-22 1:41,142
2015-03-22 1:41,142
2015-03-22 1:41,141
2015-03-22 1:41,141
2015-03-22 1:41,138
2015-03-22 1:41,138
2015-03-22 1:41,136
2015-03-22 1:41,135
2015-03-22 1:41,135
2015-03-22 1:41,135
2015-03-22 1:41,135
2015-03-22 1:42,135
2015-03-22 1:42,135
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,130
2015-03-22 1:42,127
2015-03-22 1:42,125
2015-03-22 1:42,125
2015-03-22 1:42,125
2015-03-22 1:42,126
2015-03-22 1:42,127
2015-03-22 1:42,129
2015-03-22 1:42,130
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,133
2015-03-22 1:42,133
2015-03-22 1:42,132
2015-03-22 1:42,133
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,131
2015-03-22 1:42,131
2015-03-22 1:42,131
2015-03-22 1:42,131
2015-03-22 1:42,131
2015-03-22 1:42,132
2015-03-22 1:42,131
2015-03-22 1:42,131
2015-03-22 1:42,132
2015-03-22 1:42,131
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,132
2015-03-22 1:42,133
2015-03-22 1:42,132
2015-03-22 1:42,133
2015-03-22 1:42,133
2015-03-22 1:42,133
2015-03-22 1:42,133
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:42,135
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:42,133
2015-03-22 1:42,133
2015-03-22 1:42,133
2015-03-22 1:42,133
2015-03-22 1:42,134
2015-03-22 1:42,134
2015-03-22 1:43,133
2015-03-22 1:43,134
2015-03-22 1:43,133
2015-03-22 1:43,134
2015-03-22 1:43,134
2015-03-22 1:43,134
2015-03-22 1:43,134
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,137
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,134
2015-03-22 1:43,134
2015-03-22 1:43,134
2015-03-22 1:43,134
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,136
2015-03-22 1:43,135
2015-03-22 1:43,135
2015-03-22 1:43,136
2015-03-22 1:43,135
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,136
2015-03-22 1:43,137
2015-03-22 1:43,137
2015-03-22 1:43,138
2015-03-22 1:43,138
2015-03-22 1:44,139
2015-03-22 1:44,139
